,StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label,Botnet,feature
385340,2011/08/18 11:53:26.457224,0.172739,2,147.32.84.170,48191,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,206,238777,3757,flow=From-Normal-V51-Stribrek,False,1.0
385341,2011/08/18 11:53:26.457304,0.172999,2,147.32.84.170,48192,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,183,210441,3508,flow=From-Normal-V51-Stribrek,False,1.0
385342,2011/08/18 11:53:26.457694,0.17408800000000002,2,147.32.84.170,48193,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,244,288465,4181,flow=From-Normal-V51-Stribrek,False,1.0
385343,2011/08/18 11:53:26.457803,0.173744,2,147.32.84.170,48194,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,287,337929,4882,flow=From-Normal-V51-Stribrek,False,1.0
385441,2011/08/18 11:53:28.704605,0.376236,2,147.32.84.170,48195,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,22,16481,1300,flow=From-Normal-V51-Stribrek,False,1.0
385472,2011/08/18 11:53:29.188870,0.005921,2,147.32.84.170,48196,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,10,1676,1120,flow=From-Normal-V51-Stribrek,False,1.0
385482,2011/08/18 11:53:29.501826,0.020340999999999998,1,147.32.84.170,34383,  <->,147.32.80.9,53,CON,0.0,0.0,2,260,93,flow=From-Normal-V51-Stribrek,False,1.0
385483,2011/08/18 11:53:29.522592,0.000495,1,147.32.84.170,47113,  <->,147.32.80.9,53,CON,0.0,0.0,2,602,93,flow=From-Normal-V51-Stribrek,False,1.0
385484,2011/08/18 11:53:29.523978,342.62384,2,147.32.84.170,40983,   ->,74.125.232.205,80,FSPA_FSPA,0.0,0.0,34,7661,6041,flow=From-Normal-V51-Stribrek,False,2.0
385485,2011/08/18 11:53:29.541592,0.29375999999999997,2,147.32.84.170,48198,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,12,6241,1121,flow=From-Normal-V51-Stribrek,False,1.0
385493,2011/08/18 11:53:29.851280,0.00041500000000000006,1,147.32.84.170,43240,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
385494,2011/08/18 11:53:29.852220,0.000455,1,147.32.84.170,32788,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
385495,2011/08/18 11:53:29.853486,0.018801,2,147.32.84.170,37247,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
385548,2011/08/18 11:53:30.499225,0.000271,1,147.32.84.170,57966,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
385549,2011/08/18 11:53:30.500051,0.00016299999999999998,1,147.32.84.170,43177,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,0.0
385550,2011/08/18 11:53:30.501247,0.22724499999999997,2,147.32.84.170,34734,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
385608,2011/08/18 11:53:31.579668,0.33866799999999997,2,147.32.84.170,48201,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,15,6572,1410,flow=From-Normal-V51-Stribrek,False,1.0
385630,2011/08/18 11:53:31.983806,0.018825,2,147.32.84.170,48202,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,51,45815,1950,flow=From-Normal-V51-Stribrek,False,1.0
385631,2011/08/18 11:53:31.983977,0.014079,2,147.32.84.170,48203,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,32,25804,1548,flow=From-Normal-V51-Stribrek,False,1.0
385761,2011/08/18 11:53:34.609788,1.0952959999999998,2,147.32.84.170,48204,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,13,6653,1276,flow=From-Normal-V51-Stribrek,False,2.0
385804,2011/08/18 11:53:35.791888,0.031816000000000004,2,147.32.84.170,48205,   ->,83.167.225.189,80,FSPA_FSPA,0.0,0.0,135,132468,3848,flow=From-Normal-V51-Stribrek,False,1.0
385806,2011/08/18 11:53:35.812478,0.020559,1,147.32.84.170,55193,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,71,flow=From-Normal-V51-Stribrek,False,1.0
385807,2011/08/18 11:53:35.812711,0.000495,1,147.32.84.170,52517,  <->,147.32.80.9,53,CON,0.0,0.0,2,222,71,flow=From-Normal-V51-Stribrek,False,1.0
385808,2011/08/18 11:53:35.812812,0.000508,1,147.32.84.170,32774,  <->,147.32.80.9,53,CON,0.0,0.0,2,183,68,flow=From-Normal-V51-Stribrek,False,1.0
385809,2011/08/18 11:53:35.813709,0.00025299999999999997,1,147.32.84.170,41567,  <->,147.32.80.9,53,CON,0.0,0.0,2,183,68,flow=From-Normal-V51-Stribrek,False,1.0
385810,2011/08/18 11:53:35.814102,0.000376,1,147.32.84.170,50749,  <->,147.32.80.9,53,CON,0.0,0.0,2,236,68,flow=From-Normal-V51-Stribrek,False,1.0
385811,2011/08/18 11:53:35.816065,0.000379,1,147.32.84.170,55826,  <->,147.32.80.9,53,CON,0.0,0.0,2,222,71,flow=From-Normal-V51-Stribrek,False,1.0
385812,2011/08/18 11:53:35.816787,0.0005480000000000001,1,147.32.84.170,56845,  <->,147.32.80.9,53,CON,0.0,0.0,2,337,71,flow=From-Normal-V51-Stribrek,False,1.0
385814,2011/08/18 11:53:35.833471,0.000279,1,147.32.84.170,48152,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,71,flow=From-Normal-V51-Stribrek,False,1.0
385815,2011/08/18 11:53:35.834206,0.020444,1,147.32.84.170,56877,  <->,147.32.80.9,53,CON,0.0,0.0,2,340,71,flow=From-Normal-V51-Stribrek,False,1.0
386019,2011/08/18 11:53:39.850492,0.000362,1,147.32.84.170,42564,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
386020,2011/08/18 11:53:39.851397,0.00031800000000000003,1,147.32.84.170,47746,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
386021,2011/08/18 11:53:39.852381,0.018283,2,147.32.84.170,60917,   ->,209.85.148.99,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,1.0
386504,2011/08/18 11:53:49.850504,0.000442,1,147.32.84.170,45627,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
386505,2011/08/18 11:53:49.851564,0.000319,1,147.32.84.170,32972,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
386506,2011/08/18 11:53:49.852669,0.01813,2,147.32.84.170,34658,   ->,209.85.148.104,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
386685,2011/08/18 11:53:53.742211,0.000294,1,147.32.84.170,50445,  <->,147.32.80.9,53,CON,0.0,0.0,2,224,76,flow=From-Normal-V51-Stribrek,False,1.0
386686,2011/08/18 11:53:53.742821,0.00976,1,147.32.84.170,45135,  <->,147.32.80.9,53,CON,0.0,0.0,2,566,76,flow=From-Normal-V51-Stribrek,False,1.0
386687,2011/08/18 11:53:53.753123,3311.508545,2,147.32.84.170,33755,   ->,74.125.232.206,80,FSPA_FSPA,0.0,0.0,397,204475,170581,flow=From-Normal-V51-Stribrek,False,2.0
387180,2011/08/18 11:53:59.850510,0.00031099999999999997,1,147.32.84.170,45045,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
387181,2011/08/18 11:53:59.851327,0.00033999999999999997,1,147.32.84.170,50989,  <->,147.32.80.9,53,CON,0.0,0.0,2,400,74,flow=From-Normal-V51-Stribrek,False,1.0
387182,2011/08/18 11:53:59.852385,0.0183,2,147.32.84.170,37257,   ->,209.85.148.103,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,1.0
387267,2011/08/18 11:54:01.494162,0.00023500000000000002,1,147.32.84.170,38149,  <->,147.32.80.9,53,CON,0.0,0.0,2,244,81,flow=From-Normal-V51-Stribrek,False,1.0
387268,2011/08/18 11:54:01.494916,0.000308,1,147.32.84.170,50760,  <->,147.32.80.9,53,CON,0.0,0.0,2,280,81,flow=From-Normal-V51-Stribrek,False,1.0
387269,2011/08/18 11:54:01.496236,0.247761,2,147.32.84.170,34744,   ->,195.24.233.55,80,FSPA_FSPA,0.0,0.0,10,1219,549,flow=From-Normal-V51-Stribrek,False,1.0
387506,2011/08/18 11:54:06.004472,0.006187,1,147.32.84.170,53135,  <->,147.32.80.9,53,CON,0.0,0.0,2,193,68,flow=From-Normal-V51-Stribrek,False,1.0
387508,2011/08/18 11:54:06.011062,0.000204,1,147.32.84.170,60961,  <->,147.32.80.9,53,CON,0.0,0.0,2,193,68,flow=From-Normal-V51-Stribrek,False,1.0
387509,2011/08/18 11:54:06.011671,0.0021260000000000003,1,147.32.84.170,57235,  <->,147.32.80.9,53,CON,0.0,0.0,2,193,68,flow=From-Normal-V51-Stribrek,False,1.0
387568,2011/08/18 11:54:06.931041,15.192164000000002,2,147.32.84.170,42553,   ->,77.75.72.29,80,FSA_FSA,0.0,0.0,7,478,272,flow=From-Normal-V51-Stribrek,False,2.0
387569,2011/08/18 11:54:06.931543,0.001811,1,147.32.84.170,54561,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387570,2011/08/18 11:54:06.933706,0.000225,1,147.32.84.170,42804,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387571,2011/08/18 11:54:06.934338,0.00179,1,147.32.84.170,41623,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387572,2011/08/18 11:54:06.936696,15.186222,2,147.32.84.170,42554,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,24,10578,2705,flow=From-Normal-V51-Stribrek,False,2.0
387574,2011/08/18 11:54:06.981443,0.00020099999999999998,1,147.32.84.170,47967,  <->,147.32.80.9,53,CON,0.0,0.0,2,191,67,flow=From-Normal-V51-Stribrek,False,0.0
387575,2011/08/18 11:54:06.981589,0.000199,1,147.32.84.170,52127,  <->,147.32.80.9,53,CON,0.0,0.0,2,308,83,flow=From-Normal-V51-Stribrek,False,0.0
387576,2011/08/18 11:54:06.981637,0.00263,1,147.32.84.170,43589,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387577,2011/08/18 11:54:06.981997,0.000301,1,147.32.84.170,37480,  <->,147.32.80.9,53,CON,0.0,0.0,2,191,67,flow=From-Normal-V51-Stribrek,False,1.0
387578,2011/08/18 11:54:06.982106,0.019069,1,147.32.84.170,37639,  <->,147.32.80.9,53,CON,0.0,0.0,2,580,83,flow=From-Normal-V51-Stribrek,False,1.0
387579,2011/08/18 11:54:06.982113,0.000525,1,147.32.84.170,37283,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387580,2011/08/18 11:54:06.982248,0.002891,1,147.32.84.170,37747,  <->,147.32.80.9,53,CON,0.0,0.0,2,207,75,flow=From-Normal-V51-Stribrek,False,1.0
387581,2011/08/18 11:54:06.982449,0.000647,1,147.32.84.170,41466,  <->,147.32.80.9,53,CON,0.0,0.0,2,219,75,flow=From-Normal-V51-Stribrek,False,1.0
387582,2011/08/18 11:54:06.982520,0.000709,1,147.32.84.170,48558,  <->,147.32.80.9,53,CON,0.0,0.0,2,191,67,flow=From-Normal-V51-Stribrek,False,1.0
387583,2011/08/18 11:54:06.982524,15.140382,2,147.32.84.170,42555,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,14,2823,1884,flow=From-Normal-V51-Stribrek,False,2.0
387584,2011/08/18 11:54:06.982631,15.140260000000001,2,147.32.84.170,42556,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,14,2686,1877,flow=From-Normal-V51-Stribrek,False,2.0
387585,2011/08/18 11:54:06.982738,0.000624,1,147.32.84.170,43995,  <->,147.32.80.9,53,CON,0.0,0.0,2,212,80,flow=From-Normal-V51-Stribrek,False,1.0
387586,2011/08/18 11:54:06.982742,15.14016,2,147.32.84.170,42557,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,38,21570,4982,flow=From-Normal-V51-Stribrek,False,2.0
387587,2011/08/18 11:54:06.982760,0.00061,1,147.32.84.170,36231,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387588,2011/08/18 11:54:06.982763,15.140158999999999,2,147.32.84.170,42558,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,14,2931,1876,flow=From-Normal-V51-Stribrek,False,2.0
387589,2011/08/18 11:54:06.982894,15.140004000000001,2,147.32.84.170,42559,   ->,77.75.72.29,80,FSPA_FSPA,0.0,0.0,14,2682,1871,flow=From-Normal-V51-Stribrek,False,2.0
387590,2011/08/18 11:54:06.983422,0.0005,1,147.32.84.170,34984,  <->,147.32.80.9,53,CON,0.0,0.0,2,219,75,flow=From-Normal-V51-Stribrek,False,1.0
387591,2011/08/18 11:54:06.983595,0.000349,1,147.32.84.170,34014,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387592,2011/08/18 11:54:06.983602,15.138162,2,147.32.84.170,52341,   ->,77.75.72.22,80,FSPA_FSPA,0.0,0.0,11,1377,819,flow=From-Normal-V51-Stribrek,False,2.0
387593,2011/08/18 11:54:06.983645,15.138404999999999,2,147.32.84.170,52342,   ->,77.75.72.22,80,FSPA_FSPA,0.0,0.0,11,1367,809,flow=From-Normal-V51-Stribrek,False,2.0
387594,2011/08/18 11:54:06.983652,0.0003,1,147.32.84.170,33134,  <->,147.32.80.9,53,CON,0.0,0.0,2,212,80,flow=From-Normal-V51-Stribrek,False,1.0
387595,2011/08/18 11:54:06.984097,0.00040199999999999996,1,147.32.84.170,35397,  <->,147.32.80.9,53,CON,0.0,0.0,2,262,80,flow=From-Normal-V51-Stribrek,False,1.0
387596,2011/08/18 11:54:06.984216,15.138516000000001,2,147.32.84.170,54500,   ->,77.75.72.72,80,FSPA_FSPA,0.0,0.0,17,6167,3250,flow=From-Normal-V51-Stribrek,False,2.0
387597,2011/08/18 11:54:06.984274,15.138464,2,147.32.84.170,54501,   ->,77.75.72.72,80,FSPA_FSPA,0.0,0.0,11,2134,1213,flow=From-Normal-V51-Stribrek,False,2.0
387598,2011/08/18 11:54:06.984322,15.138423999999999,2,147.32.84.170,54502,   ->,77.75.72.72,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,2.0
387599,2011/08/18 11:54:06.984372,15.139135999999999,2,147.32.84.170,54503,   ->,77.75.72.72,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,2.0
387600,2011/08/18 11:54:06.984379,0.000229,1,147.32.84.170,46091,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387601,2011/08/18 11:54:06.984383,15.137939000000001,2,147.32.84.170,54504,   ->,77.75.72.72,80,FSPA_FSPA,0.0,0.0,11,2165,1244,flow=From-Normal-V51-Stribrek,False,2.0
387602,2011/08/18 11:54:06.984811,0.0020050000000000003,1,147.32.84.170,38583,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387603,2011/08/18 11:54:06.984950,2.197486,2,147.32.84.170,38827,   ->,77.78.99.22,80,FSPA_FSPA,0.0,0.0,9,2141,1257,flow=From-Normal-V51-Stribrek,False,2.0
387604,2011/08/18 11:54:06.985005,0.268563,2,147.32.84.170,38828,   ->,77.78.99.22,80,FSPA_FSPA,0.0,0.0,9,2073,1053,flow=From-Normal-V51-Stribrek,False,1.0
387605,2011/08/18 11:54:06.985309,0.000273,1,147.32.84.170,38623,  <->,147.32.80.9,53,CON,0.0,0.0,2,207,75,flow=From-Normal-V51-Stribrek,False,1.0
387606,2011/08/18 11:54:06.986004,0.0018219999999999998,1,147.32.84.170,40770,  <->,147.32.80.9,53,CON,0.0,0.0,2,207,75,flow=From-Normal-V51-Stribrek,False,1.0
387607,2011/08/18 11:54:06.987328,15.135414,2,147.32.84.170,36449,   ->,77.75.76.76,80,FSA_FSA,0.0,0.0,10,716,428,flow=From-Normal-V51-Stribrek,False,2.0
387608,2011/08/18 11:54:06.987419,2.00278,2,147.32.84.170,36450,   ->,77.75.76.76,80,FSPA_FSPA,0.0,0.0,10,1400,818,flow=From-Normal-V51-Stribrek,False,2.0
387609,2011/08/18 11:54:06.987426,0.197506,2,147.32.84.170,36451,   ->,77.75.76.76,80,FSPA_FSPA,0.0,0.0,10,1350,768,flow=From-Normal-V51-Stribrek,False,1.0
387610,2011/08/18 11:54:06.987520,3.9478230000000005,2,147.32.84.170,36452,   ->,77.75.76.76,80,FSPA_FSPA,0.0,0.0,12,1748,1092,flow=From-Normal-V51-Stribrek,False,2.0
387611,2011/08/18 11:54:06.988474,15.134366,2,147.32.84.170,57883,   ->,77.75.77.21,80,FSA_FSA,0.0,0.0,8,564,350,flow=From-Normal-V51-Stribrek,False,2.0
387612,2011/08/18 11:54:06.988530,15.134475,2,147.32.84.170,57884,   ->,77.75.77.21,80,FSA_FSA,0.0,0.0,8,564,350,flow=From-Normal-V51-Stribrek,False,2.0
387613,2011/08/18 11:54:06.988545,15.134466,2,147.32.84.170,57885,   ->,77.75.77.21,80,FSA_FSA,0.0,0.0,8,564,350,flow=From-Normal-V51-Stribrek,False,2.0
387614,2011/08/18 11:54:06.988629,15.134570000000002,2,147.32.84.170,57886,   ->,77.75.77.21,80,FSA_FSA,0.0,0.0,10,716,428,flow=From-Normal-V51-Stribrek,False,2.0
387615,2011/08/18 11:54:07.001822,355.14300499999996,2,147.32.84.170,48267,   ->,195.113.232.98,80,FSPA_FSPA,0.0,0.0,40,10658,6360,flow=From-Normal-V51-Stribrek,False,2.0
387616,2011/08/18 11:54:07.001883,15.120235999999998,2,147.32.84.170,48268,   ->,195.113.232.98,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,2.0
387617,2011/08/18 11:54:07.001933,15.120197000000001,2,147.32.84.170,48269,   ->,195.113.232.98,80,FSA_FSA,0.0,0.0,6,412,272,flow=From-Normal-V51-Stribrek,False,2.0
387629,2011/08/18 11:54:07.336831,0.002281,1,147.32.84.170,59741,  <->,147.32.80.9,53,CON,0.0,0.0,2,194,72,flow=From-Normal-V51-Stribrek,False,1.0
387630,2011/08/18 11:54:07.336888,0.002936,1,147.32.84.170,35288,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387631,2011/08/18 11:54:07.337091,0.002349,1,147.32.84.170,35700,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,82,flow=From-Normal-V51-Stribrek,False,1.0
387632,2011/08/18 11:54:07.339351,0.000373,1,147.32.84.170,54854,  <->,147.32.80.9,53,CON,0.0,0.0,2,194,72,flow=From-Normal-V51-Stribrek,False,1.0
387633,2011/08/18 11:54:07.339817,0.000234,1,147.32.84.170,42205,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,82,flow=From-Normal-V51-Stribrek,False,1.0
387634,2011/08/18 11:54:07.339933,0.002151,1,147.32.84.170,53768,  <->,147.32.80.9,53,CON,0.0,0.0,2,194,72,flow=From-Normal-V51-Stribrek,False,1.0
387635,2011/08/18 11:54:07.340058,0.000309,1,147.32.84.170,36630,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387636,2011/08/18 11:54:07.340489,0.002075,1,147.32.84.170,51274,  <->,147.32.80.9,53,CON,0.0,0.0,2,214,82,flow=From-Normal-V51-Stribrek,False,1.0
387637,2011/08/18 11:54:07.340641,0.002338,1,147.32.84.170,38426,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387638,2011/08/18 11:54:07.342695,0.000362,1,147.32.84.170,34100,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387639,2011/08/18 11:54:07.343371,0.002079,1,147.32.84.170,54689,  <->,147.32.80.9,53,CON,0.0,0.0,2,197,70,flow=From-Normal-V51-Stribrek,False,1.0
387640,2011/08/18 11:54:07.343379,0.000348,1,147.32.84.170,56869,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387641,2011/08/18 11:54:07.343717,0.00042199999999999996,1,147.32.84.170,44710,  <->,147.32.80.9,53,CON,0.0,0.0,2,206,78,flow=From-Normal-V51-Stribrek,False,1.0
387642,2011/08/18 11:54:07.344129,0.000204,1,147.32.84.170,42862,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387643,2011/08/18 11:54:07.344453,0.00018899999999999999,1,147.32.84.170,59834,  <->,147.32.80.9,53,CON,0.0,0.0,2,206,78,flow=From-Normal-V51-Stribrek,False,0.0
387644,2011/08/18 11:54:07.344862,0.00015,1,147.32.84.170,34750,  <->,147.32.80.9,53,CON,0.0,0.0,2,202,76,flow=From-Normal-V51-Stribrek,False,0.0
387645,2011/08/18 11:54:07.344938,0.000342,1,147.32.84.170,50276,  <->,147.32.80.9,53,CON,0.0,0.0,2,206,78,flow=From-Normal-V51-Stribrek,False,1.0
387646,2011/08/18 11:54:07.345440,0.000252,1,147.32.84.170,48516,  <->,147.32.80.9,53,CON,0.0,0.0,2,202,76,flow=From-Normal-V51-Stribrek,False,1.0
387647,2011/08/18 11:54:07.345585,0.00016999999999999999,1,147.32.84.170,35984,  <->,147.32.80.9,53,CON,0.0,0.0,2,197,70,flow=From-Normal-V51-Stribrek,False,0.0
387648,2011/08/18 11:54:07.345950,0.002559,1,147.32.84.170,42870,  <->,147.32.80.9,53,CON,0.0,0.0,2,204,77,flow=From-Normal-V51-Stribrek,False,1.0
387649,2011/08/18 11:54:07.346044,0.00046399999999999995,1,147.32.84.170,57397,  <->,147.32.80.9,53,CON,0.0,0.0,2,202,76,flow=From-Normal-V51-Stribrek,False,1.0
387650,2011/08/18 11:54:07.346247,0.004522,1,147.32.84.170,48181,  <->,147.32.80.9,53,CON,0.0,0.0,2,215,70,flow=From-Normal-V51-Stribrek,False,1.0
387651,2011/08/18 11:54:07.347163,0.002164,1,147.32.84.170,41599,  <->,147.32.80.9,53,CON,0.0,0.0,2,144,72,flow=From-Normal-V51-Stribrek,False,1.0
387652,2011/08/18 11:54:07.348919,0.0005070000000000001,1,147.32.84.170,57625,  <->,147.32.80.9,53,CON,0.0,0.0,2,204,77,flow=From-Normal-V51-Stribrek,False,1.0
387653,2011/08/18 11:54:07.349520,0.002326,1,147.32.84.170,45539,  <->,147.32.80.9,53,CON,0.0,0.0,2,144,72,flow=From-Normal-V51-Stribrek,False,1.0
387654,2011/08/18 11:54:07.349651,0.002491,1,147.32.84.170,34971,  <->,147.32.80.9,53,CON,0.0,0.0,2,204,77,flow=From-Normal-V51-Stribrek,False,1.0
387655,2011/08/18 11:54:07.351618,0.000405,1,147.32.84.170,42861,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387656,2011/08/18 11:54:07.352027,0.001956,1,147.32.84.170,56829,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387657,2011/08/18 11:54:07.352417,0.000388,1,147.32.84.170,52465,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387658,2011/08/18 11:54:07.352798,0.0025280000000000003,1,147.32.84.170,60292,  <->,147.32.80.9,53,CON,0.0,0.0,2,142,71,flow=From-Normal-V51-Stribrek,False,1.0
387659,2011/08/18 11:54:07.353176,0.000546,1,147.32.84.170,36583,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387660,2011/08/18 11:54:07.354484,0.001853,1,147.32.84.170,59466,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387661,2011/08/18 11:54:07.354712,0.005842,1,147.32.84.170,47929,  <->,147.32.80.9,53,CON,0.0,0.0,2,217,73,flow=From-Normal-V51-Stribrek,False,1.0
387662,2011/08/18 11:54:07.355488,0.002517,1,147.32.84.170,49273,  <->,147.32.80.9,53,CON,0.0,0.0,2,142,71,flow=From-Normal-V51-Stribrek,False,1.0
387663,2011/08/18 11:54:07.356720,0.000206,1,147.32.84.170,57873,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387664,2011/08/18 11:54:07.357286,0.002578,1,147.32.84.170,41209,  <->,147.32.80.9,53,CON,0.0,0.0,2,205,74,flow=From-Normal-V51-Stribrek,False,1.0
387665,2011/08/18 11:54:07.358182,0.0020570000000000002,1,147.32.84.170,37815,  <->,147.32.80.9,53,CON,0.0,0.0,2,199,71,flow=From-Normal-V51-Stribrek,False,1.0
387666,2011/08/18 11:54:07.360780,0.002068,1,147.32.84.170,51923,  <->,147.32.80.9,53,CON,0.0,0.0,2,196,73,flow=From-Normal-V51-Stribrek,False,1.0
387667,2011/08/18 11:54:07.360907,0.002358,1,147.32.84.170,48637,  <->,147.32.80.9,53,CON,0.0,0.0,2,217,73,flow=From-Normal-V51-Stribrek,False,1.0
387669,2011/08/18 11:54:07.363009,0.00043,1,147.32.84.170,36856,  <->,147.32.80.9,53,CON,0.0,0.0,2,196,73,flow=From-Normal-V51-Stribrek,False,1.0
387670,2011/08/18 11:54:07.363587,0.0018789999999999998,1,147.32.84.170,55177,  <->,147.32.80.9,53,CON,0.0,0.0,2,196,73,flow=From-Normal-V51-Stribrek,False,1.0
387809,2011/08/18 11:54:08.968607,13.154008,2,147.32.84.170,52361,   ->,77.75.72.22,80,FSPA_FSPA,0.0,0.0,11,1831,1273,flow=From-Normal-V51-Stribrek,False,2.0
387814,2011/08/18 11:54:09.064199,0.00032,1,147.32.84.170,40750,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387815,2011/08/18 11:54:09.064366,0.002169,1,147.32.84.170,60478,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387816,2011/08/18 11:54:09.064860,0.0003,1,147.32.84.170,40041,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387817,2011/08/18 11:54:09.065568,0.000309,1,147.32.84.170,56720,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387818,2011/08/18 11:54:09.066893,0.00021400000000000002,1,147.32.84.170,58218,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
387819,2011/08/18 11:54:09.067468,0.00168,1,147.32.84.170,39623,  <->,147.32.80.9,53,CON,0.0,0.0,2,201,72,flow=From-Normal-V51-Stribrek,False,1.0
